CompressThreshold,MotionMaxRange,Points
1,0,2
0.99,0,41
0.98,0,74
0.97,0,110
0.96,0,142
0.95,0,177
0.94,0,228
0.93,0,269
0.92,0,294
0.91,0,325
0.9,0,352
1,1,2
0.99,1,13
0.98,1,10
0.97,1,10
0.96,1,10
0.95,1,14
0.94,1,15
0.93,1,15
0.92,1,15
0.91,1,10
0.9,1,9
1,2,2
0.99,2,8
0.98,2,7
0.97,2,6
0.96,2,6
0.95,2,4
0.94,2,2
0.93,2,2
0.92,2,2
0.91,2,1
0.9,2,1
1,3,2
0.99,3,2
0.98,3,2
0.97,3,2
0.96,3,2
0.95,3,1
0.94,3,1
0.93,3,1
0.92,3,1
0.91,3,1
0.9,3,1
1,4,2
0.99,4,2
0.98,4,2
0.97,4,2
0.96,4,2
0.95,4,1
0.94,4,1
0.93,4,1
0.92,4,1
0.91,4,1
0.9,4,1
1,5,2
0.99,5,1
0.98,5,1
0.97,5,1
0.96,5,1
0.95,5,1
0.94,5,1
0.93,5,1
0.92,5,1
0.91,5,1
0.9,5,1
