frames,position.x_comp,position.y_comp,position.z_comp,rotation.x_comp,rotation.y_comp,rotation.z_comp,rotation.w_comp,Spine Front-Back_comp,Spine Left-Right_comp,Spine Twist Left-Right_comp,Chest Front-Back_comp,Chest Left-Right_comp,Chest Twist Left-Right_comp,Neck Nod Down-Up_comp,Neck Tilt Left-Right_comp,Neck Turn Left-Right_comp,Head Nod Down-Up_comp,Head Tilt Left-Right_comp,Head Turn Left-Right_comp,Left Upper Leg Front-Back_comp,Left Upper Leg In-Out_comp,Left Upper Leg Twist In-Out_comp,Left Lower Leg Stretch_comp,Left Lower Leg Twist In-Out_comp,Left Foot Up-Down_comp,Left Foot Twist In-Out_comp,Right Upper Leg Front-Back_comp,Right Upper Leg In-Out_comp,Right Upper Leg Twist In-Out_comp,Right Lower Leg Stretch_comp,Right Lower Leg Twist In-Out_comp,Right Foot Up-Down_comp,Right Foot Twist In-Out_comp,Left Shoulder Down-Up_comp,Left Shoulder Front-Back_comp,Left Arm Down-Up_comp,Left Arm Front-Back_comp,Left Arm Twist In-Out_comp,Left Forearm Stretch_comp,Left Forearm Twist In-Out_comp,Left Hand Down-Up_comp,Left Hand In-Out_comp,Right Shoulder Down-Up_comp,Right Shoulder Front-Back_comp,Right Arm Down-Up_comp,Right Arm Front-Back_comp,Right Arm Twist In-Out_comp,Right Forearm Stretch_comp,Right Forearm Twist In-Out_comp,Right Hand Down-Up_comp,Right Hand In-Out_comp
0,0.9530337,0.2136354,0.3687146,0.7104632,0.5614209,0.6945095,1,0.5879812,0.2160142,0.166312,0.62599,0.6138698,0.477363,0.7502245,0.1672856,0.5168437,0.7335105,0.1770357,0.3739459,0.5202484,0.46304,0.9835944,0.9409947,0.1706914,0.3141351,0.7522343,0.5640832,0.4297951,0.8939403,0.9519876,0.2316456,0.4495873,0.5757361,0.2382828,0.7575669,0.8765606,0.8360058,0.3034201,0.9552153,0.8675346,0.2032341,0.7797709,1.149509E-05,0.9999827,0.6948155,0.8712023,0.2447347,0.9274667,0.7942197,0.1928862,0.6880925
1,0.9530337,0.2136354,0.3687146,0.7104632,0.5614209,0.6945095,1,0.5879812,0.2160142,0.166312,0.62599,0.6138698,0.477363,0.7502245,0.1672856,0.5168437,0.7335105,0.1770357,0.3739459,0.5202484,0.46304,0.9835944,0.9409947,0.1706914,0.3141351,0.7522343,0.5640832,0.4297951,0.8939403,0.9519876,0.2316456,0.4495873,0.5757361,0.2382828,0.7575669,0.8765606,0.8360058,0.3034201,0.9552153,0.8675346,0.2032341,0.7797709,1.149509E-05,0.9999827,0.6948155,0.8712023,0.2447347,0.9274667,0.7942197,0.1928862,0.6880925
2,0.3346255,0.2136354,0.6249354,0.7104632,0.7486114,0.7770844,0.001000886,0.7172534,0.2160142,0.3682004,0.62599,0.6802974,0.477363,0.7502245,-0.04709151,0.8570408,0.7335105,-0.05188227,0.8104458,0.5202484,0.9735089,0.5066011,0.9409947,0.6428505,0.3141351,0.4275731,0.5640832,1.062821,0.7477329,0.9519876,0.2316456,0.4495873,0.05752995,-0.006976618,0.7575669,0.2375032,0.8360058,0.3655729,0.7383502,0.8675346,0.4073304,0.7797709,1.149509E-05,0.9999827,0.08653348,0.8712023,0.4456201,0.7880234,0.7942197,0.1928862,0.6880925
3,0.3346255,0.2136354,0.6249354,0.7104632,0.7486114,0.7770844,0.001000886,0.7172534,0.2160142,0.3682004,0.62599,0.6802974,0.477363,0.7502245,-0.04709151,0.8570408,0.7335105,-0.05188227,0.8104458,0.5202484,0.9735089,0.5066011,0.9409947,0.6428505,0.3141351,0.4275731,0.5640832,1.062821,0.7477329,0.9519876,0.2316456,0.4495873,0.05752995,-0.006976618,0.7575669,0.2375032,0.8360058,0.3655729,0.7383502,0.8675346,0.4073304,0.7797709,1.149509E-05,0.9999827,0.08653348,0.8712023,0.4456201,0.7880234,0.7942197,0.1928862,0.6880925
4,0.3346251,0.2136354,0.6249865,0.7104632,0.7486129,0.7357969,0.001000871,0.6526173,0.2160142,0.3681988,0.62599,0.6470836,0.477363,0.7502245,-0.04709886,0.85703,0.7335105,-0.05190955,0.8104203,0.5202484,0.9735279,0.5066416,0.9409947,0.6428046,0.3141351,0.4275586,0.5640832,1.062853,0.8208366,0.9519876,0.2316456,0.4495873,0.05755222,-0.006976618,0.7575669,0.2375068,0.8360058,0.3344965,0.7383633,0.8675346,0.4073327,0.7797709,1.149509E-05,0.9999827,0.08653282,0.8712023,0.445899,0.857745,0.7942197,0.1928862,0.6880925
5,0.3346251,0.2136354,0.6249865,0.7104632,0.7486129,0.7357969,0.001000871,0.6526173,0.2160142,0.3681988,0.62599,0.6470836,0.477363,0.7502245,-0.04709886,0.85703,0.7335105,-0.05190955,0.8104203,0.5202484,0.9735279,0.5066416,0.9409947,0.6428046,0.3141351,0.4275586,0.5640832,1.062853,0.8208366,0.9519876,0.2316456,0.4495873,0.05755222,-0.006976618,0.7575669,0.2375068,0.8360058,0.3344965,0.7383633,0.8675346,0.4073327,0.7797709,1.149509E-05,0.9999827,0.08653282,0.8712023,0.445899,0.857745,0.7942197,0.1928862,0.6880925
6,0.3346251,0.2136354,0.6249865,0.7104632,0.7486129,0.7357969,0.001000871,0.6526173,0.2160142,0.3681988,0.62599,0.6470836,0.477363,0.7502245,-0.04709886,0.85703,0.7335105,-0.05190955,0.8104203,0.5202484,0.9735279,0.5066416,0.9409947,0.6428046,0.3141351,0.4275586,0.5640832,1.062853,0.8208366,0.9519876,0.2316456,0.4495873,0.05755222,-0.006976618,0.7575669,0.2375068,0.8360058,0.3344965,0.7383633,0.8675346,0.4073327,0.7797709,1.149509E-05,0.9999827,0.08653282,0.8712023,0.445899,0.857745,0.7942197,0.1928862,0.6880925
7,0.3346251,0.2136354,0.6249865,0.7104632,0.7486129,0.7357969,0.001000871,0.6526173,0.2160142,0.3681988,0.62599,0.6470836,0.477363,0.7502245,-0.04709886,0.85703,0.7335105,-0.05190955,0.8104203,0.5202484,0.9735279,0.5066416,0.9409947,0.6428046,0.3141351,0.4275586,0.5640832,1.062853,0.8208366,0.9519876,0.2316456,0.4495873,0.05755222,-0.006976618,0.7575669,0.2375068,0.8360058,0.3344965,0.7383633,0.8675346,0.4073327,0.7797709,1.149509E-05,0.9999827,0.08653282,0.8712023,0.445899,0.857745,0.7942197,0.1928862,0.6880925
8,0.3346251,0.2136354,0.6249865,0.7104632,0.7486129,0.7357969,0.001000871,0.6526173,0.2160142,0.3681988,0.62599,0.6470836,0.477363,0.7502245,0.006499091,0.85703,0.7335105,0.005333573,0.8104203,0.5202484,0.9735279,0.5066416,0.9409947,0.6428046,0.3141351,0.4275586,0.5640832,1.062853,0.8208366,0.9519876,0.2316456,0.4495873,0.05755222,-0.006976618,0.7575669,0.2375068,0.8360058,0.3344965,0.792573,0.8675346,0.4073327,0.7797709,1.149509E-05,0.9999827,0.08653282,0.8712023,0.445899,0.857745,0.7942197,0.1928862,0.6880925
9,0.3346251,0.2136354,0.6249865,0.7104632,0.7486129,0.7357969,0.001000871,0.6526173,0.2160142,0.3681988,0.62599,0.6470836,0.477363,0.7502245,0.006499091,0.85703,0.7335105,0.005333573,0.8104203,0.5202484,0.9735279,0.5066416,0.9409947,0.6428046,0.3141351,0.4275586,0.5640832,1.062853,0.8208366,0.9519876,0.2316456,0.4495873,0.05755222,-0.006976618,0.7575669,0.2375068,0.8360058,0.3344965,0.792573,0.8675346,0.4073327,0.7797709,1.149509E-05,0.9999827,0.08653282,0.8712023,0.445899,0.857745,0.7942197,0.1928862,0.6880925
