frames,position.x_comp,position.y_comp,position.z_comp,rotation.x_comp,rotation.y_comp,rotation.z_comp,rotation.w_comp,Spine Front-Back_comp,Spine Left-Right_comp,Spine Twist Left-Right_comp,Chest Front-Back_comp,Chest Left-Right_comp,Chest Twist Left-Right_comp,Neck Nod Down-Up_comp,Neck Tilt Left-Right_comp,Neck Turn Left-Right_comp,Head Nod Down-Up_comp,Head Tilt Left-Right_comp,Head Turn Left-Right_comp,Left Upper Leg Front-Back_comp,Left Upper Leg In-Out_comp,Left Upper Leg Twist In-Out_comp,Left Lower Leg Stretch_comp,Left Lower Leg Twist In-Out_comp,Left Foot Up-Down_comp,Left Foot Twist In-Out_comp,Right Upper Leg Front-Back_comp,Right Upper Leg In-Out_comp,Right Upper Leg Twist In-Out_comp,Right Lower Leg Stretch_comp,Right Lower Leg Twist In-Out_comp,Right Foot Up-Down_comp,Right Foot Twist In-Out_comp,Left Shoulder Down-Up_comp,Left Shoulder Front-Back_comp,Left Arm Down-Up_comp,Left Arm Front-Back_comp,Left Arm Twist In-Out_comp,Left Forearm Stretch_comp,Left Forearm Twist In-Out_comp,Left Hand Down-Up_comp,Left Hand In-Out_comp,Right Shoulder Down-Up_comp,Right Shoulder Front-Back_comp,Right Arm Down-Up_comp,Right Arm Front-Back_comp,Right Arm Twist In-Out_comp,Right Forearm Stretch_comp,Right Forearm Twist In-Out_comp,Right Hand Down-Up_comp,Right Hand In-Out_comp
0,0.373028,0.2290961,0.4658059,0.6793044,0.5979127,0.6493506,0.4994996,0.5744921,0.2764662,0.3925695,0.5870249,0.5710945,0.5185318,0.655579,0.1233994,0.7235702,0.6503218,0.09946007,0.6570958,0.4928863,0.728525,0.4543854,0.8514859,0.6329042,0.3174699,0.5366507,0.5183164,0.703026,0.6281624,0.8236698,0.2886333,0.4629919,0.2528404,0.2436142,0.6484154,0.3620148,0.6169803,0.3056838,0.6928072,0.6786177,0.4512486,0.7336624,-0.3524054,0.8373608,0.2121984,0.667621,0.3882985,0.746319,0.6676353,0.3086348,0.5505612
1,0.373028,0.2290961,0.4658059,0.6793044,0.5979127,0.6493506,0.4994996,0.5744921,0.2764662,0.3925695,0.5870249,0.5710945,0.5185318,0.655579,0.1233994,0.7235702,0.6503218,0.09946007,0.6570958,0.4928863,0.728525,0.4543854,0.8514859,0.6329042,0.3174699,0.5366507,0.5183164,0.703026,0.6281624,0.8236698,0.2886333,0.4629919,0.2528404,0.2436142,0.6484154,0.3620148,0.6169803,0.3056838,0.6928072,0.6786177,0.4512486,0.7336624,-0.3524054,0.8373608,0.2121984,0.667621,0.3882985,0.746319,0.6676353,0.3086348,0.5505612
2,0.373028,0.2290961,0.4658059,0.6793044,0.5979127,0.6493506,-0.4994996,0.5744921,0.2764662,0.3925695,0.5870249,0.5710945,0.5185318,0.655579,0.1233994,0.7235702,0.6503218,0.09946007,0.6570958,0.4928863,0.728525,0.4543854,0.8514859,0.6329042,0.3174699,0.5366507,0.5183164,0.703026,0.6281624,0.8236698,0.2886333,0.4629919,0.2528404,0.2436142,0.6484154,0.3620148,0.6169803,0.3056838,0.6928072,0.6786177,0.4512486,0.7336624,-0.3524054,0.8373608,0.2121984,0.667621,0.3882985,0.746319,0.6676353,0.3086348,0.5505612
3,0.373028,0.2290961,0.4658059,0.6793044,0.5979127,0.6493506,-0.4994996,0.5744921,0.2764662,0.3925695,0.5870249,0.5710945,0.5185318,0.655579,0.1233994,0.7235702,0.6503218,0.09946007,0.6570958,0.4928863,0.728525,0.4543854,0.8514859,0.6329042,0.3174699,0.5366507,0.5183164,0.703026,0.6281624,0.8236698,0.2886333,0.4629919,0.2528404,0.2436142,0.6484154,0.3620148,0.6169803,0.3056838,0.6928072,0.6786177,0.4512486,0.7336624,-0.3524054,0.8373608,0.2121984,0.667621,0.3882985,0.746319,0.6676353,0.3086348,0.5505612
4,0.373028,0.2290961,0.4658059,0.6793044,0.5979127,0.6493506,0,0.5744921,0.2764662,0.3925695,0.5870249,0.5710945,0.5185318,0.655579,0.1233994,0.7235702,0.6503218,0.09946007,0.6570958,0.4928863,0.728525,0.4543854,0.8514859,0.6329042,0.3174699,0.5366507,0.5183164,0.703026,0.6281624,0.8236698,0.2886333,0.4629919,0.2528404,0.2436142,0.6484154,0.3620148,0.6169803,0.3056838,0.6928072,0.6786177,0.4512486,0.7336624,-0.3524054,0.8373608,0.2121984,0.667621,0.3882985,0.746319,0.6676353,0.3086348,0.5505612
5,0.373028,0.2290961,0.4658059,0.6793044,0.5979127,0.6493506,0,0.5744921,0.2764662,0.3925695,0.5870249,0.5710945,0.5185318,0.655579,0.1233994,0.7235702,0.6503218,0.09946007,0.6570958,0.4928863,0.728525,0.4543854,0.8514859,0.6329042,0.3174699,0.5366507,0.5183164,0.703026,0.6281624,0.8236698,0.2886333,0.4629919,0.2528404,0.2436142,0.6484154,0.3620148,0.6169803,0.3056838,0.6928072,0.6786177,0.4512486,0.7336624,-0.3524054,0.8373608,0.2121984,0.667621,0.3882985,0.746319,0.6676353,0.3086348,0.5505612
6,0.373028,0.2290961,0.4658059,0.6793044,0.5979127,0.6493506,0,0.5744921,0.2764662,0.3925695,0.5870249,0.5710945,0.5185318,0.655579,0.1233994,0.7235702,0.6503218,0.09946007,0.6570958,0.4928863,0.728525,0.4543854,0.8514859,0.6329042,0.3174699,0.5366507,0.5183164,0.703026,0.6281624,0.8236698,0.2886333,0.4629919,0.2528404,0.2436142,0.6484154,0.3620148,0.6169803,0.3056838,0.6928072,0.6786177,0.4512486,0.7336624,-0.3524054,0.8373608,0.2121984,0.667621,0.3882985,0.746319,0.6676353,0.3086348,0.5505612
7,0.373028,0.2290961,0.4658059,0.6793044,0.5979127,0.6493506,0,0.5744921,0.2764662,0.3925695,0.5870249,0.5710945,0.5185318,0.655579,0.1233994,0.7235702,0.6503218,0.09946007,0.6570958,0.4928863,0.728525,0.4543854,0.8514859,0.6329042,0.3174699,0.5366507,0.5183164,0.703026,0.6281624,0.8236698,0.2886333,0.4629919,0.2528404,0.2436142,0.6484154,0.3620148,0.6169803,0.3056838,0.6928072,0.6786177,0.4512486,0.7336624,-0.3524054,0.8373608,0.2121984,0.667621,0.3882985,0.746319,0.6676353,0.3086348,0.5505612
8,0.373028,0.2290961,0.4658059,0.6793044,0.5979127,0.6493506,0,0.5744921,0.2764662,0.3925695,0.5870249,0.5710945,0.5185318,0.655579,0.1233994,0.7235702,0.6503218,0.09946007,0.6570958,0.4928863,0.728525,0.4543854,0.8514859,0.6329042,0.3174699,0.5366507,0.5183164,0.703026,0.6281624,0.8236698,0.2886333,0.4629919,0.2528404,0.2436142,0.6484154,0.3620148,0.6169803,0.3056838,0.6928072,0.6786177,0.4512486,0.7336624,-0.3524054,0.8373608,0.2121984,0.667621,0.3882985,0.746319,0.6676353,0.3086348,0.5505612
9,0.373028,0.2290961,0.4658059,0.6793044,0.5979127,0.6493506,0,0.5744921,0.2764662,0.3925695,0.5870249,0.5710945,0.5185318,0.655579,0.1233994,0.7235702,0.6503218,0.09946007,0.6570958,0.4928863,0.728525,0.4543854,0.8514859,0.6329042,0.3174699,0.5366507,0.5183164,0.703026,0.6281624,0.8236698,0.2886333,0.4629919,0.2528404,0.2436142,0.6484154,0.3620148,0.6169803,0.3056838,0.6928072,0.6786177,0.4512486,0.7336624,-0.3524054,0.8373608,0.2121984,0.667621,0.3882985,0.746319,0.6676353,0.3086348,0.5505612
