frames,Points
1,0
1,0
6,0
7,0
15,0
31,0
63,0
126,0
127,0
135,0
139,0
143,0
147,0
151,0
155,0
159,0
167,0
175,0
183,0
191,0
199,0
207,0
255,0
319,0
322,0
323,0
325,0
327,0
328,0
331,0
332,0
335,0
343,0
347,0
351,0
359,0
367,0
375,0
383,0
391,0
395,0
399,0
403,0
407,0
411,0
415,0
423,0
431,0
439,0
447,0
455,0
463,0
479,0
495,0
503,0
511,0
519,0
523,0
527,0
535,0
543,0
546,0
547,0
549,0
550,0
551,0
552,0
553,0
555,0
556,0
559,0
575,0
639,0
671,0
679,0
683,0
686,0
687,0
691,0
695,0
698,0
699,0
701,0
702,0
703,0
707,0
711,0
719,0
723,0
726,0
727,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
739,0
743,0
751,0
755,0
759,0
762,0
763,0
767,0
895,0
959,0
991,0
999,0
