frames,position.x_diff2,position.y_diff2,position.z_diff2,rotation.x_diff2,rotation.y_diff2,rotation.z_diff2,rotation.w_diff2,Spine Front-Back_diff2,Spine Left-Right_diff2,Spine Twist Left-Right_diff2,Chest Front-Back_diff2,Chest Left-Right_diff2,Chest Twist Left-Right_diff2,Neck Nod Down-Up_diff2,Neck Tilt Left-Right_diff2,Neck Turn Left-Right_diff2,Head Nod Down-Up_diff2,Head Tilt Left-Right_diff2,Head Turn Left-Right_diff2,Left Upper Leg Front-Back_diff2,Left Upper Leg In-Out_diff2,Left Upper Leg Twist In-Out_diff2,Left Lower Leg Stretch_diff2,Left Lower Leg Twist In-Out_diff2,Left Foot Up-Down_diff2,Left Foot Twist In-Out_diff2,Right Upper Leg Front-Back_diff2,Right Upper Leg In-Out_diff2,Right Upper Leg Twist In-Out_diff2,Right Lower Leg Stretch_diff2,Right Lower Leg Twist In-Out_diff2,Right Foot Up-Down_diff2,Right Foot Twist In-Out_diff2,Left Shoulder Down-Up_diff2,Left Shoulder Front-Back_diff2,Left Arm Down-Up_diff2,Left Arm Front-Back_diff2,Left Arm Twist In-Out_diff2,Left Forearm Stretch_diff2,Left Forearm Twist In-Out_diff2,Left Hand Down-Up_diff2,Left Hand In-Out_diff2,Right Shoulder Down-Up_diff2,Right Shoulder Front-Back_diff2,Right Arm Down-Up_diff2,Right Arm Front-Back_diff2,Right Arm Twist In-Out_diff2,Right Forearm Stretch_diff2,Right Forearm Twist In-Out_diff2,Right Hand Down-Up_diff2,Right Hand In-Out_diff2
0,-0.6184081,0,0.2562208,0,0.1871905,0,-0.9989991,0,0,0.2018884,0,0,0,0,-0.2143771,0.3401971,0,-0.2289179,0.4365,0,0.5104689,-0.4769932,0,0.4721591,0,-0.3246613,0,0.6330258,0,0,0,0,-0.5182062,-0.2452595,0,-0.6390573,0,0,-0.2168652,0,0.2040963,0,0,0,-0.608282,0,0.2008854,0,0,0,0
1,0.6184081,0,-0.2562208,0,-0.1871905,0,0.9989991,0,0,-0.2018884,0,0,0,0,0.2143771,-0.3401971,0,0.2289179,-0.4365,0,-0.5104689,0.4769932,0,-0.4721591,0,0.3246613,0,-0.6330258,0,0,0,0,0.5182062,0.2452595,0,0.6390573,0,0,0.2168652,0,-0.2040963,0,0,0,0.608282,0,-0.2008854,0,0,0,0
2,-4.63191E-07,0,-0.1281104,0,-0.09359527,0,-1.490145E-08,0,0,-1.522637E-06,0,0,0,0,0.1071886,-1.070733E-05,0,-2.727356E-05,-2.554648E-05,0,1.898572E-05,4.045489E-05,0,-4.588801E-05,0,-1.445496E-05,0,3.249002E-05,0,0,0,0,2.227035E-05,1.387779E-17,0,3.532883E-06,0,0,0.1084326,0,2.378703E-06,0,0,0,-6.551546E-07,0,0.0002788936,0,0,0,0
3,4.63191E-07,0,0.1281104,0,0.09359527,0,1.490145E-08,0,0,1.522637E-06,0,0,0,0,-0.1071886,1.070733E-05,0,2.727356E-05,2.554648E-05,0,-1.898572E-05,-4.045489E-05,0,4.588801E-05,0,1.445496E-05,0,-3.249002E-05,0,0,0,0,-2.227035E-05,-1.387779E-17,0,-3.532883E-06,0,0,-0.1084326,0,-2.378703E-06,0,0,0,6.551546E-07,0,-0.0002788936,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1.110223E-16,0,0,0,0,0,8.95551E-17,0,0,-0.05047133,0,0,0,0,0,0,0,0.05724312,0,0,-0.1276267,0,0,0,0,0.08117255,0,-0.1582727,0,0,0,0,3.469447E-17,1.387779E-17,0,0,0,0,0,0,-0.05102526,0,0,0,0,0,-0.05036081,0,0,0,0
7,-1.110223E-16,0,0,0,0,0,-8.95551E-17,0,0,0.05047133,0,0,0,0,0,0,0,-0.05724312,0,0,0.1276267,0,0,0,0,-0.08117255,0,0.1582727,0,0,0,0,-3.469447E-17,-1.387779E-17,0,0,0,0,0,0,0.05102526,0,0,0,0,0,0.05036081,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
